"Customer Group","Klant groep"
"Change Shipping Address","Wijzig leveringsadres"
"City","Stad"
"Company","Bedrijf"
"Configure","Configureer"
"Confirm New Password","Bevestig nieuwe paswoord"
"Confirm Password","Bevestig Paswoord"
"Confirmation Link Email","Bevestigingsemail Link"
"Confirmed","Bevestigd"
"Contact Information","Contact Gegevens"
"Continue Shopping","Ga verder me winkelen"
"Country","Land"
"Create","Maak aan"
"Create New Customer Account","Maak nieuwe klant account aan"
"Create Order","Maak bestelling aan"
"Create an Account","Maak een Account aan"
"Create customer","Maak klant aan"
"Create customer address","Maak klant account aan"
"Current Password","Huidig paswoord"
"Customer","Klant"
"Customer Account Edit Form","Bewerk klant"
"Customer Account Login Form","Klant Account login"
"Customer Account Logout Success","Klant Account Logout Succes"
"Customer Account Registration Form","Klant Account Registratie"
"Customer Addresses","Klant Adressen"
"Customer Configuration","Klant Configuratie"
"Customer Forgot Password Form","Klant paswoord vergeten"
"Customer Information","Klant Informatie"
"Customer Login","Klant Login"
"Customer My Account (All Pages)","Klant Mijn Account (Alles)"
"Customer My Account Address Book","Klant Mijn Account Adresboek"
"Customer My Account Address Edit Form","Klant Mijn Account Bewerk Adres"
"Customer My Account Dashboard","Klant Mijn Account Dashboard"
"Customer Since","Klant sinds"
"Customer email is required","Klant email is vereist"
"Customers","Klanten"
"Customers Only","Enkel Klanten"
"Customers Section","Klanten Sectie"
"DD","DD"
"Date","Datum"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Days in Wishlist","Dagen in wenslijst"
"Default Addresses","Default Adressen"
"Default Billing Address","Default Factuuradres"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Default leveringsadres"
"Delete","Verwijder"
"Delete Address","Verwijder adres"
"Delete customer address","Verwijder klantadres"
"Edit","Bewerk"
"Edit Account Info","Bewerk Account Info"
"Edit Account Information","Bewerk Account Informatie"
"Edit Address","Bewerk Adres"
"Edit Customer's Address","Bewerk klantadres"
"Email","Email"
"Email Address","Email Adres"
"Email Sender","Email Afzender"
"Email:","Email:"
"Failed to confirm customer account.","Bevestiging account mislukt."
"Fax","Fax"
"First Name","Voornaam"
"Forgot Password","Paswoord vergeten"
"Forgot Your Password","Je paswoord vergeten"
"Forgot Your Password?","Je paswoord vergeten?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Via het Account Dashboard heb je een beeld van de recente wijzigingen binnen je account and kan je de gegevens aanpassen. Selecteer de link hieronder om de gegevens te bekijken of bewerken."
"Gender","Geslacht"
"Gender is required.","Geslacht is verplicht."
"General Subscription","Algemene inschrijving"
"Generate Human-Friendly Customer ID","Genereer een Persoon-vriendelijk Klant ID"
"Global","Globaal"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Hallo, %s!"
"ID","ID"
"IP Address","IP Address"
"If you believe this is an error, please contact us at %s","Indien je denkt dat dit een fout is, gelieve contact met ons op te nemen op %s"
"If you have an account with us, please log in.","Indien je een account hebt, gelieve in te loggen."
"Invalid billing address for (%s)","Ongeldig factuuradres voor (%s)"
"Invalid current password","Ongeldig huidig paswoord"
"Invalid email address ""%s"".","Ongeldig email adres ""%s""."
"Invalid email address.","Ongeldig email adres."
"Invalid login or password.","Ongeldige login of paswoord."
"Invalid password reset token.","Ongeldige paswoord reset token."
"Invalid shipping address for (%s)","Ongeldig leveringsadres voor (%s)"
"Last Activity","Laatste Activiteit"
"Last Ordered Items","Laatst bestelde items"
"Last Name","Naam"
"Last URL","Last URL"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Log In"
"Log Out","Log Uit"
"Login","Login"
"Login Information","Login Informatie"
"Login Options","Login Options"
"Login and password are required.","Login en paswoord zijn verplicht."
"Login or Create an Account","Login of maak een Account aan"
"MM","MM"
"Manage Addresses","Beheer Adressen"
"Manage Customers","Manage Customers"
"Maximum length must be less then %s symbols","Maximum length must be less then %s symbols"
"Missing email, skipping the record, line: %s","Missing email, skipping the record, line: %s"
"Missing email, skipping the record.","Missing email, skipping the record."
"Missing first name, skipping the record, line: %s","Missing first name, skipping the record, line: %s"
"Missing firstname, skipping the record.","Missing firstname, skipping the record."
"Missing last name, skipping the record, line: %s","Missing last name, skipping the record, line: %s"
"Missing lastname, skipping the record.","Missing lastname, skipping the record."
"Missing website, skipping the record, line: %s","Missing website, skipping the record, line: %s"
"Month","Maand"
"My Account","Mijn Account"
"My Account Wrapper","My Account Wrapper"
"My Dashboard","Mijn Dashboard"
"My Orders","Mijn Bestellingen"
"My Wishlist","Mijn Wenslijst"
"Name","Naam"
"Name and Address Options","Naam en adres opties"
"Never","Never"
"New Address","Nieuw Adres"
"New Address Entry","Nieuw Adres Entry"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuwe klant adres"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","New Customers"
"New Group","New Group"
"New Password","Nieuw Paswoord"
"New account","Nieuw account"
"New account confirmation key","Nieuwe account bevestigings sleutel"
"New account confirmed","Nieuwe account bevestigd"
"New password field cannot be empty.","Nieuw paswoord veld mag niet leeg zijn."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Newsletters"
"No Items Found","Geen Items Gevonden"
"No Newsletter Found","No Newsletter Found"
"No customer collections found","No customer collections found"
"No item specified.","No item specified."
"Not Sent","Not Sent"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Niet bevestigd, kan niet inloggen"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order","Bestelling"
"Order Total","Totaal bestelling"
"Orders","Bestellingen"
"PDF","PDF"
"Password","Paswoord"
"Password Management","Paswoord Beheer"
"Password Options","Password Options"
"Password forgotten","Paswoord vergeten"
"Password:","Paswoord:"
"Paused","Paused"
"Pending","Wachtende"
"Per Website","Per Website"
"Personal Information","Persoonlijke Informatie"
"Please enter a number 1 or greater in this field.","Gelieve een getal 1 of hoger in te voeren voor dit veld."
"Please enter a valid date between %s and %s at %s.","Gelieve een geldige datum tussen %s en %s in te voeren in %s."
"Please enter a valid date equal to or greater than %s at %s.","Gelieve een geldige datum gelijk aan of na %s in te voeren in %s."
"Please enter a valid date less than or equal to %s at %s.","Gelieve een geldige datum gelijk aan of voor %s in te voeren in %s."
"Please enter the city.","Gelieve de stad op te geven."
"Please enter the country.","Gelieve het land op te geven."
"Please enter the first name.","Gelieve je voornaam in te voeren."
"Please enter the last name.","Gelieve je naam in te voeren."
"Please enter the state/province.","Please enter the state/province."
"Please enter the street.","Gelieve de straat in te voeren."
"Please enter the telephone number.","Gelieve je telefoon in te voeren."
"Please enter the zip/postal code.","Gelieve de postcode in te voeren."
"Please enter your email address below. You will receive a link to reset your password.","Gelieve je email adres hieronder in te voeren. Je zal een link om je paswoord te resetten ontvangen."
"Please enter your email below and we\'ll send you confirmation link for it.","Gelieve je email adres hieronder in te voeren zodat we de bevestigingslink sturen."
"Please enter your email.","Gelieve je email in te voeren."
"Please make sure your passwords match.","Gelieve ervoor te zorgen dat de paswoorden gelijk zijn."
"Please select a website which contains store view","Please select a website which contains store view"
"Please select region, state or province","Please select region, state or province"
"Please, check your email for confirmation key.","Gelieve je email te controleren voor de bevestigings sleutel."
"Prefix Dropdown Options","Prefix Dropdown Options"
"Price","Prijs"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produkt Naam"
"Product Reviews","Produkt Beoordelingen"
"Product Tags","Produkt Labels"
"Purchase On","Koop op"
"Purchased On","Gekocht op"
"Qty","Qty"
"Recent Orders","Recente Bestellingen"
"Records for %s store found.","Records for %s store found."
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Refunded","Terugbetaald"
"Register","Registeer"
"Registered Customers","Registered Customers"
"Remind Email Template","Remind Email Template"
"Remind Password","Herinner Paswoord"
"Remove","Verwijder"
"Require Emails Confirmation","Require Emails Confirmation"
"Require admin user to change user password","Require admin user to change user password"
"Reset a Password","Reset een Paswoord"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer groups","Retrieve customer groups"
"Retrieve customer info","Retrieve customer info"
"Retrieve customers","Retrieve customers"
"Retrieve your confirmation link here","Verkrijg je bevestigingslink hier"
"Retrieve your password here","Verkrijg je paswoord hier"
"Ristorno Detail Overview","Ristorno Details"
"Ristorno Overview","Ristorno Overzicht"
"SKU","PCD"
"Sales Statistics","Sales Statistics"
"Save","Bewaar"
"Save Address","Bewaar Adres"
"Save Customer","Bewaar Klant"
"Save Customer Group","Save Customer Group"
"Save Password","Bewaar Paswoord"
"Save and Continue Edit","Bewaar en ga door met bewerken"
"Saved %d record(s)","Saved %d record(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punt-komma (;) splits waarden.<br/>Plaats punt-komma voor de eerste waarde indien je een vrij veld wil.<br/>Laat leeg voor vrij tekst veld."
"Send Auto-Generated Password","Verstuuur een gegenereerd paswoord"
"Send From","Verzonden door"
"Send Welcome Email","Send Welcome Email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send confirmation link","Verzend bevestigings link"
"Sending","Verzenden"
"Sent","Verzonden"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Configureer als default factuuradres"
"Set as Default Shipping Address","Configureer als default leveringsadres"
"Share Customer Accounts","Share Customer Accounts"
"Shipped to First Name","Verzonden aan voornaam"
"Shipped to Last Name","Verzonden aan naam"
"Shipped to Name","Verzonden aan naam"
"Ship to","Levering op"
"SHIP TO","Levering op"
"Ship To","Levering op"
"Shopping Cart","Winkelmand"
"Shopping Cart - %d item(s)","Winkelmand - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Winkelmand van %1$s - %2$d item(s)"
"Show Date of Birth","Show Date of Birth"
"Show Gender","Show Gender"
"Show Middle Name (initial)","Show Middle Name (initial)"
"Show Prefix","Show Prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","State/Province"
"Status","Status"
"Store","Winkel"
"Store View","Store View"
"Street Address","Straat"
"Street Address %s","Straat %s"
"Subject","Onderwerp"
"Submit","Verstuur"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name","Tag Name"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Class","Btw Class"
"Tax/VAT number","Btw nummer"
"Telephone","Telefoon"
"Text","Tekst"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Bedankt om je te registreren bij %s."
"The Date of Birth is required.","Geboortedatum is verplicht."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The account information has been saved.","De account info werd bewaard."
"The address does not belong to this customer.","The address does not belong to this customer."
"The address has been deleted.","Het adres werd verwijderd."
"The address has been saved.","Het adres werd bewaard."
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
"The customer does not have default billing address.","The customer does not have default billing address."
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
"The customer group has been deleted.","The customer group has been deleted."
"The customer group has been saved.","The customer group has been saved."
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"The first name cannot be empty.","Voornaam mag niet leeg zijn."
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The last name cannot be empty.","Naam mag niet leeg zijn."
"The minimum password length is %s","De minimale lengte voor paswoord is %s"
"The password cannot be empty.","Paswoord mag niet leeg zijn."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Paswoord moet minimaal 6 karakter lang zijn. Spaties worden niet meegerekend"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Momenteel bevinden er zich geen items in de wenslijst van de klant"
"There are no items in customer\'s shopping cart at the moment","Momenteel bevinden er zich geen items in de winkelmand van de klant"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Er bestaat reeds een account met dit emailadres. Indien je zeker bent dat dit jou emailadres is, <a href=""%s"">klik hier</a> om je paswoord en toegang tot je account te verkrijgen."
"There was an error validating the VAT ID.","There was an error validating the VAT ID."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","There was an error validating the VAT ID. The customer would belong to Customer Group %s."
"This account is not confirmed.","Dit account werd nog niet bevestigd."
"This customer email already exists","Deze klant email bestaat reeds"
"This customer has no saved addresses.","Deze klant heeft geen bewaarde adressen."
"This email does not require confirmation.","This email does not require confirmation."
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"This is My Default %s Address","Dit is mijn Default %s Adres"
"To Cart","Naar Winkelwagen"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Total","Totaal"
"Type","Type"
"Unknown","Onbekend"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Update","Update"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Default %s Address","Gebruik als mijn Default %s Adres"
"Use as My Default Billing Address","Gebruik als mijn Default Factuuradres"
"Use as My Default Shipping Address","Gebruik als mijn Default leveringsadres"
"Use as my default billing address","Gebruik als mijn Default factuuradres"
"Use as my default shipping address","Gebruik als mijn Default leveringsadres"
"VAT Number","Btw Nummer"
"VAT Request Date","VAT Request Date"
"VAT Request Identifier","VAT Request Identifier"
"Validate VAT Number","Validate VAT Number"
"Validate on Each Transaction","Validate on Each Transaction"
"Validation Error Group","Validation Error Group"
"View","Bekijk"
"View Details","Bekijk details"
"View Order","Bekijk bestelling"
"Visitor","Bezoeker"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welkom Email"
"Welcome","Welkom"
"Welcome,","Welkom,"
"Welcome, %s","Welkom, %s"
"Wishlist","Wenslijst"
"Wishlist - %d item(s)","Wenslijst - %d item(s)"
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"Wrong confirmation key.","Foutieve bevestigings sleutel."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Foutieve email."
"Wrong transactional account email type","Wrong transactional account email type"
"YYYY","YYYY"
"Year","Jaar"
"You are currently not subscribed to any newsletter.","Je bent niet ingeschreven voor de nieuwsbrief."
"You are currently not subscribed to our newsletter.","Je bent niet ingeschreven voor de nieuwsbrief."
"You are currently subscribed to 'General Subscription'.","Je bent ingeschreven voor de nieuwsbrief.."
"You are currently subscribed to our newsletter.","Je bent ingeschreven voor de nieuwsbrief.."
"You are now logged out","U bent nu uitgelogd"
"You have logged out and will be redirected to our homepage in 5 seconds.","U bent uitgelogd en zal binnen 5 seconden herleid worden naar de home pagina."
"You have no additional address entries in your address book.","U hebt geen andere adressen in je adresboek."
"You have no additional entries in your address book.","U hebt geen andere adressen in je adresboek."
"You have no default billing address in your address book.","U hebt geen default factuuradres in je adresboek."
"You have no default entries in your address book.","U hebt geen defaults in je adresboek."
"You have no default shipping address in your address book.","U hebt geen default leveringsadres in je adresboek."
"You have not set a default billing address.","U hebt geen default factuuradres."
"You have not set a default shipping address.","U hebt geen default leveringsadres."
"You have placed no orders yet.","U plaatste nog geen bestellingen."
"You have placed no products yet.","U plaatste nog geen produkten."
"You will be charged tax.","Er zal BTW aangerekend worden."
"You will not be charged tax.","You will not be charged tax."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"Your account balance is: %s","Je huidige account saldo: %s"
"ZIP","Postcode"
"ZIP/Post Code","Postcode"
"Zip/Postal Code","Postcode"
"n/a","n/a"
"or","of"
"Order Amount excl. VAT","Bestel bedrag excl.BTW"
"Quantity","Aantal"
"Order #","Bestelling #"
"Deliveries Overview","Leveringen overzicht"
"Deliveries","Leveringen"
"You have no deliveries for the moment.","Momenteel zijn er geen leveringen voor je."
"Patient Orders","Bestellingen Pati&#235;nten"
"Patient Orders Overview","Overzicht bestellingen gelinkt aan je account"
"Your patients have placed no orders","Er bestelde nog geen pati&#235;nt via jou."
"My Invoices","Mijn facturen"
"Bericht Zorgpunt","Bericht Zorgpunt"
"Betreft Bestelling ","Betreft Bestelling "
"Stock","Voorraad in apotheek"
"Quantity in stock","Aantal voorraad"
"Quantity in rent","Aantal verhuurd"
"Quantity in request","Aantal in aanvraag"
"Last update","Laatste wijziging"
"You have no stock for the moment.","Op dit ogenblik heeft u geen Zorgpunt voorraad."
"Stock Overview","Voorraad Overzicht"
"Product code","Produkt Code"
"Stock Request","Voorraad Aanvraag"
"Request delivery of stock item","Verzoek om stockaanvulling te leveren"
"Stock Request Overview","Overzicht Aanvragen Voorraad"
"New Request","Nieuwe aanvraag"
"You have no stockrequest for the moment.","Op dit ogenblik deed u nog geen aanvragen."
"Overview Requests","Overzicht historiek aanvragen"
"The request has been saved.","Je aanvraag werd geregistreerd."
"You are not allowed to perform this request, please contact Zorgpunt.","U bent niet gemachtigd om dit verzoek in te dienen, contacteer Zorgpunt."
"Stockoverview","Naar overzicht voorraad"
"Submit","Verstuur"
"Please select a product.","Gelieve een product te selecteren"
"Required fields","Verplicht"
"Minimal quantity is 1","Minimale hoeveelheid is 1"
"Request","Bestel"
"Add stock product","Voeg ander product toe"
"* Required input","* Verplichte velden"
"Remove stock product","- verwijder"
"Cannot save stock.","Fout bij verwerken voorraad."
